"Date","Price","Open","High","Low","Change %"
"07/27/2026","98.550","98.560","98.740","98.300","0.36%"
"07/24/2026","98.200","97.520","98.200","97.420","1.04%"
"07/23/2026","97.190","97.550","97.640","97.190","-0.49%"
"07/22/2026","97.670","97.470","97.760","97.270","-0.10%"
"07/21/2026","97.770","97.900","98.170","97.350","-0.09%"
"07/20/2026","97.860","97.870","98.430","97.840","-0.42%"
"07/17/2026","98.270","98.170","98.380","97.970","0.16%"
"07/16/2026","98.110","98.460","98.460","97.630","-0.67%"
"07/15/2026","98.770","98.590","98.780","98.370","-0.40%"
"07/14/2026","99.170","98.700","99.310","98.570","0.02%"
"07/13/2026","99.150","99.430","99.620","99.130","-0.53%"
"07/10/2026","99.680","99.510","99.720","99.350","0.49%"
"07/09/2026","99.190","99.000","99.200","98.650","0.42%"
"07/08/2026","98.780","99.800","99.800","98.750","-1.50%"
"07/07/2026","100.280","100.500","100.680","100.200","-0.62%"
"07/06/2026","100.910","101.350","101.410","100.860","-0.19%"
"07/03/2026","101.100","101.300","101.300","101.020","-0.26%"
"07/02/2026","101.360","101.520","101.520","100.910","-0.34%"
"07/01/2026","101.710","101.800","101.890","101.320","-0.64%"
"06/30/2026","102.370","102.680","102.850","102.360","0.00%"
"06/29/2026","102.370","102.350","102.450","102.070","-0.02%"
"06/26/2026","102.390","102.620","102.660","102.000","-0.09%"
"06/25/2026","102.480","102.600","102.900","102.360","0.06%"
"06/24/2026","102.420","101.890","102.600","101.840","0.74%"
"06/23/2026","101.670","101.600","101.850","101.460","0.35%"
"06/22/2026","101.320","101.240","101.540","100.990","0.45%"
"06/19/2026","100.870","101.860","101.860","100.820","-1.33%"
"06/18/2026","102.230","102.030","102.240","101.910","0.22%"
"06/17/2026","102.010","101.930","102.230","101.700","0.43%"
"06/16/2026","101.570","101.060","101.680","101.040","0.58%"
"06/15/2026","100.980","101.180","101.220","100.920","0.63%"
"06/12/2026","100.350","100.460","100.800","100.020","0.51%"
"06/11/2026","99.840","98.960","99.860","98.850","0.79%"
"06/10/2026","99.060","99.320","99.430","98.680","-0.26%"
"06/09/2026","99.320","99.500","99.710","99.020","-0.11%"
"06/08/2026","99.430","99.330","99.700","99.150","-0.32%"
"06/05/2026","99.750","99.810","100.000","99.410","-0.10%"
